,#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Unnamed: 15
87,88,CVE-2015-1133,20.0,,Priv,4/10/2015,9/17/2015,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"fontd in Apple Type Services (ATS) in Apple OS X before 10.10.3 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2015-1131, CVE-2015-1132, CVE-2015-1134, and CVE-2015-1135."
88,89,CVE-2015-1132,20.0,,Priv,4/10/2015,9/17/2015,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,"fontd in Apple Type Services (ATS) in Apple OS X before 10.10.3 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2015-1131, CVE-2015-1133, CVE-2015-1134, and CVE-2015-1135."
89,90,CVE-2015-1131,20.0,,Priv,4/10/2015,9/17/2015,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"fontd in Apple Type Services (ATS) in Apple OS X before 10.10.3 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2015-1132, CVE-2015-1133, CVE-2015-1134, and CVE-2015-1135."
90,91,CVE-2014-8825,20.0,,Priv,1/30/2015,9/7/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The kernel in Apple OS X before 10.10.2 does not properly perform identitysvc validation of certain directory-service functionality, which allows local users to gain privileges or spoof directory-service responses via unspecified vectors."
91,92,CVE-2014-8821,,,Priv,1/30/2015,9/7/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The Intel Graphics Driver in Apple OS X before 10.10.2 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2014-8819 and CVE-2014-8820."
92,93,CVE-2014-8820,,,Priv,1/30/2015,9/7/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The Intel Graphics Driver in Apple OS X before 10.10.2 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2014-8819 and CVE-2014-8821."
93,94,CVE-2014-8819,,,Priv,1/30/2015,9/7/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The Intel Graphics Driver in Apple OS X before 10.10.2 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2014-8820 and CVE-2014-8821."
94,95,CVE-2014-6184,119.0,,Overflow +Priv,2/21/2015,2/23/2015,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"Stack-based buffer overflow in dsmtca in the client in IBM Tivoli Storage Manager (TSM) 5.4 through 5.4.3.6, 5.5 through 5.5.4.3, 6.1 through 6.1.5.6, 6.2 before 6.2.5.4, and 6.3 before 6.3.2.3 on UNIX, Linux, and OS X allows local users to gain privileges via unspecified vectors."
95,96,CVE-2014-4444,287.0,,Priv,10/17/2014,8/28/2017,4.4,None,Local,Medium,Not required,Partial,Partial,Partial,"SecurityAgent in Apple OS X before 10.10 does not ensure that a Kerberos ticket is in the cache for the correct user, which allows local users to gain privileges in opportunistic circumstances by leveraging a Fast User Switching login."
96,97,CVE-2014-4408,119.0,,DoS Overflow +Priv,9/18/2014,8/28/2017,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,The rt_setgate function in the kernel in Apple iOS before 8 and Apple TV before 7 allows local users to gain privileges or cause a denial of service (out-of-bounds read and device crash) via a crafted call.
97,98,CVE-2014-4375,,,DoS +Priv,9/18/2014,8/28/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Double free vulnerability in Apple iOS before 8 and Apple TV before 7 allows local users to gain privileges or cause a denial of service (device crash) via vectors related to Mach ports.
98,99,CVE-2014-1379,,,DoS +Priv,7/1/2014,11/20/2015,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,Graphics Drivers in Apple OS X before 10.9.4 allows attackers to gain privileges or cause a denial of service (NULL pointer dereference and system crash) via a 32-bit executable file for a crafted application.
99,100,CVE-2014-0067,264.0,,Priv,3/31/2014,12/15/2017,4.6,None,Local,Low,Not required,Partial,Partial,Partial,"The ""make check"" command for the test suites in PostgreSQL 9.3.3 and earlier does not properly invoke initdb to specify the authentication requirements for a database cluster to be used for the tests, which allows local users to gain privileges by leveraging access to this cluster."
100,101,CVE-2013-5987,,,Priv,1/21/2014,8/23/2016,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"Unspecified vulnerability in NVIDIA graphics driver Release 331, 325, 319, 310, and 304 allows local users to bypass intended access restrictions for the GPU and gain privileges via unknown vectors."
101,102,CVE-2012-0649,362.0,,Priv,5/10/2012,12/4/2017,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,Race condition in the initialization routine in blued in Bluetooth in Apple Mac OS X before 10.7.4 allows local users to gain privileges via vectors involving a temporary file.
102,103,CVE-2011-3463,287.0,,Priv,2/2/2012,2/3/2012,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"WebDAV Sharing in Apple Mac OS X 10.7.x before 10.7.3 does not properly perform authentication, which allows local users to gain privileges by leveraging access to (1) the server or (2) a bound directory."
103,104,CVE-2011-0185,134.0,,Priv,10/14/2011,1/13/2012,4.4,None,Local,Medium,Not required,Partial,Partial,Partial,Format string vulnerability in the debug-logging feature in Application Firewall in Apple Mac OS X before 10.7.2 allows local users to gain privileges via a crafted name of an executable file.
104,105,CVE-2011-0182,20.0,,Priv,3/22/2011,2/13/2012,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The i386_set_ldt system call in the kernel in Apple Mac OS X before 10.6.7 does not properly handle call gates, which allows local users to gain privileges via vectors involving the creation of a call gate entry."
105,106,CVE-2010-1375,287.0,,Priv,6/17/2010,6/18/2010,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"NetAuthSysAgent in Network Authorization in Apple Mac OS X 10.5.8 does not have the expected authorization requirements, which allows local users to gain privileges via unspecified vectors."
106,107,CVE-2010-0509,264.0,,Priv,3/30/2010,3/31/2010,7.2,None,Local,Low,Not required,Complete,Complete,Complete,SFLServer in OS Services in Apple Mac OS X before 10.6.3 allows local users to gain privileges via vectors related to use of wheel group membership during access to the home directories of user accounts.
107,108,CVE-2010-0498,287.0,,Priv,3/30/2010,3/31/2010,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"Directory Services in Apple Mac OS X before 10.6.3 does not properly perform authorization during processing of record names, which allows local users to gain privileges via unspecified vectors."
108,109,CVE-2009-2835,20.0,,DoS +Priv +Info,11/10/2009,11/17/2009,4.6,None,Local,Low,Not required,Partial,Partial,Partial,"The kernel in Apple Mac OS X before 10.6.2 does not properly handle task state segments, which allows local users to gain privileges, cause a denial of service (system crash), or obtain sensitive information via unspecified vectors."
109,110,CVE-2009-2807,119.0,,Overflow +Priv,9/14/2009,8/16/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Heap-based buffer overflow in the USB backend in CUPS in Apple Mac OS X 10.5.8 allows local users to gain privileges via unspecified vectors.
110,111,CVE-2009-1235,264.0,,Priv,4/2/2009,9/28/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"XNU 1228.9.59 and earlier on Apple Mac OS X 10.5.6 and earlier does not properly restrict interaction between user space and the HFS IOCTL handler, which allows local users to overwrite kernel memory and gain privileges by attaching an HFS+ disk image and performing certain steps involving HFS_GET_BOOT_INFO fcntl calls."
111,112,CVE-2009-0150,119.0,,DoS Overflow +Priv,5/13/2009,8/7/2017,4.4,User,Local,Medium,Not required,Partial,Partial,Partial,Stack-based buffer overflow in Apple Mac OS X 10.5 before 10.5.7 allows local users to gain privileges or cause a denial of service (application crash) by attempting to mount a crafted sparse disk image.
112,113,CVE-2009-0149,94.0,,DoS +Priv Mem. Corr.,5/13/2009,8/7/2017,4.4,User,Local,Medium,Not required,Partial,Partial,Partial,Apple Mac OS X 10.4.11 and 10.5 before 10.5.7 allows local users to gain privileges or cause a denial of service (application crash) by attempting to mount a crafted sparse disk image that triggers memory corruption.
113,114,CVE-2009-0013,255.0,,Priv,2/12/2009,8/7/2017,2.1,None,Local,Low,Not required,Partial,None,None,"dscl in DS Tools in Apple Mac OS X 10.4.11 and 10.5.6 requires that passwords must be provided as command line arguments, which allows local users to gain privileges by listing process information."
114,115,CVE-2008-4218,189.0,,Overflow +Priv,12/16/2008,8/20/2009,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Multiple integer overflows in the kernel in Apple Mac OS X before 10.5.6 on Intel platforms allow local users to gain privileges via a crafted call to (1) i386_set_ldt or (2) i386_get_ldt.
115,116,CVE-2008-2830,264.0,,Priv,6/23/2008,8/7/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Open Scripting Architecture in Apple Mac OS X 10.4.11 and 10.5.4, and some other 10.4 and 10.5 versions, does not properly restrict the loading of scripting addition plugins, which allows local users to gain privileges via scripting addition commands to a privileged application, as originally demonstrated by an osascript tell command to ARDAgent."
116,117,CVE-2008-2324,264.0,,Priv,8/3/2008,8/7/2017,4.6,User,Local,Low,Not required,Partial,Partial,Partial,"The Repair Permissions tool in Disk Utility in Apple Mac OS X 10.4.11 adds the setuid bit to the emacs executable file, which allows local users to gain privileges by executing commands within emacs."
117,118,CVE-2008-2313,264.0,,Priv,7/1/2008,8/7/2017,4.6,User,Local,Low,Not required,Partial,Partial,Partial,"Apple Mac OS X before 10.5 uses weak permissions for the User Template directory, which allows local users to gain privileges by inserting a Trojan horse file into this directory."
118,119,CVE-2008-2308,264.0,,DoS +Priv Mem. Corr.,7/1/2008,8/7/2017,4.6,User,Local,Low,Not required,Partial,Partial,Partial,Unspecified vulnerability in Alias Manager in Apple Mac OS X 10.5.1 and earlier on Intel platforms allows local users to gain privileges or cause a denial of service (memory corruption and application crash) by resolving an alias that contains crafted AFP volume mount information.
119,120,CVE-2008-1517,20.0,,DoS +Priv,5/13/2009,8/7/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Array index error in the xnu (Mach) kernel in Apple Mac OS X 10.5 before 10.5.7 allows local users to gain privileges or cause a denial of service (system shutdown) via unspecified vectors related to workqueues.
120,121,CVE-2008-0055,362.0,,DoS +Priv,3/18/2008,8/7/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Foundation in Apple Mac OS X 10.4.11 creates world-writable directories while NSFileManager copies files recursively and only modifies the permissions afterward, which allows local users to modify copied files to cause a denial of service and possibly gain privileges."
121,122,CVE-2007-4686,189.0,,DoS +Priv,11/14/2007,10/15/2018,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Integer signedness error in the ttioctl function in bsd/kern/tty.c in the xnu kernel in Apple Mac OS X 10.4 through 10.4.10 allows local users to cause a denial of service (system shutdown) or gain privileges via a crafted TIOCSETD ioctl request.
122,123,CVE-2007-4685,264.0,,Priv,11/14/2007,7/28/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The kernel in Apple Mac OS X 10.4 through 10.4.10 allows local users to gain privileges by executing setuid or setgid programs in which the stdio, stderr, or stdout file descriptors are ""in an unexpected state."""
123,124,CVE-2007-3751,,,Exec Code +Priv,11/7/2007,10/26/2018,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Unspecified vulnerability in QuickTime for Java in Apple QuickTime before 7.3 allows remote attackers to execute arbitrary code via untrusted Java applets that gain privileges via unspecified vectors.
124,125,CVE-2007-0752,,,Priv,5/24/2007,7/28/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"The PPP daemon (pppd) in Apple Mac OS X 10.4.8 checks ownership of the stdin file descriptor to determine if the invoker has sufficient privileges, which allows local users to load arbitrary plugins and gain root privileges by bypassing this check."
125,126,CVE-2007-0747,,,Priv,4/24/2007,7/3/2013,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"load_webdav in Apple Mac OS X 10.3.9 through 10.4.9 does not properly clean the environment when mounting a WebDAV filesystem, which allows local users to gain privileges by setting unspecified environment variables."
126,127,CVE-2007-0744,,,Priv,4/24/2007,9/5/2008,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"SMB in Apple Mac OS X 10.3.9 through 10.4.9 does not properly clean the environment when executing commands, which allows local users to gain privileges by setting unspecified environment variables."
127,128,CVE-2007-0737,,,Priv,4/24/2007,9/5/2008,4.6,User,Local,Low,Not required,Partial,Partial,Partial,"The Login Window in Apple Mac OS X 10.3.9 through 10.4.9 does not properly check certain environment variables, which allows local users to gain privileges via unspecified vectors."
128,129,CVE-2007-0732,,,Priv,4/24/2007,9/5/2008,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Unspecified vulnerability in the CoreServices daemon in CarbonCore in Apple Mac OS X 10.4 through 10.4.9 allows local users to gain privileges via unspecified vectors involving ""obtaining a send right to [the] Mach task port."""
129,130,CVE-2007-0729,264.0,,Priv,4/24/2007,9/5/2008,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Apple File Protocol (AFP) Client in Apple Mac OS X 10.3.9 through 10.4.9 does not properly clean the environment before executing commands, which allows local users to gain privileges by setting unspecified environment variables."
130,131,CVE-2007-0724,,,Priv,3/13/2007,7/28/2017,6.9,Admin,Local,Medium,Not required,Complete,Complete,Complete,"The IOKit HID interface in Apple Mac OS X 10.3.9 and 10.4 through 10.4.8 does not sufficiently limit access to certain controls, which allows local users to gain privileges by using HID device events to read keystrokes from the console."
131,132,CVE-2007-0723,,,Priv,3/13/2007,9/5/2008,8.5,Admin,Remote,Medium,Single system,Complete,Complete,Complete,Unspecified vulnerability in the authentication feature for DirectoryService (DS Plug-Ins) for Apple Mac OS X 10.3.9 and 10.4 through 10.4.8 allows remote authenticated LDAP users to modify the root password and gain privileges via unknown vectors.
132,133,CVE-2007-0467,,,Priv,1/30/2007,7/28/2017,6.2,Admin,Local,High,Not required,Complete,Complete,Complete,crashdump in Apple Mac OS X 10.4.8 allows local users in the admin group to modify arbitrary files or gain privileges via a symlink attack on application logs in /Library/Logs/CrashReporter/.
133,134,CVE-2007-0355,119.0,,Exec Code Overflow +Priv,1/18/2007,10/18/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Buffer overflow in the Apple Minimal SLP v2 Service Agent (slpd) in Mac OS X 10.4.11 and earlier, including 10.4.8, allows local users, and possibly remote attackers, to gain privileges and possibly execute arbitrary code via a registration request with an invalid attr-list field."
134,135,CVE-2007-0345,,,Priv,1/17/2007,10/18/2017,6.8,Admin,Local,Low,Single system,Complete,Complete,Complete,"The (1) Activity Monitor.app/Contents/Resources/pmTool, (2) Keychain Access.app/Contents/Resources/kcproxy, and (3) ODBC Administrator.app/Contents/Resources/iodbcadmintool programs in /Applications/Utilities/ in Mac OS X 10.4.8 have weak permissions (writable by admin group), which allows local admin users to gain root privileges by modifying a program and then performing permissions repair via diskutil."
135,136,CVE-2007-0229,189.0,,DoS Overflow +Priv,1/12/2007,7/28/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Integer overflow in the ffs_mountfs function in Mac OS X 10.4.8 and FreeBSD 6.1 allows local users to cause a denial of service (panic) and possibly gain privileges via a crafted DMG image that causes ""allocation of a negative size buffer"" leading to a heap-based buffer overflow, a related issue to CVE-2006-5679. NOTE: a third party states that this issue does not cross privilege boundaries in FreeBSD because only root may mount a filesystem."
136,137,CVE-2007-0117,,,Priv,1/8/2007,11/15/2008,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,"DiskManagementTool in the DiskManagement.framework 92.29 on Mac OS X 10.4.8 does not properly validate Bill of Materials (BOM) files, which allows attackers to gain privileges via a BOM file under /Library/Receipts/, which triggers arbitrary file permission changes upon execution of a diskutil permission repair operation."
137,138,CVE-2007-0023,,,Priv,1/23/2007,7/28/2017,6.9,Admin,Local,Medium,Not required,Complete,Complete,Complete,"The CFUserNotificationSendRequest function in UserNotificationCenter.app in Apple Mac OS X 10.4.8, when used in combination with diskutil, allows local users to gain privileges via a malicious InputManager in Library/InputManagers in a user's home directory, which is executed when Cocoa applications attempt to notify the user."
138,139,CVE-2007-0022,,,Priv,1/22/2007,7/28/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Untrusted search path vulnerability in writeconfig in Apple Mac OS X 10.4.8 allows local users to gain privileges via a modified PATH that points to a malicious launchctl program.
139,140,CVE-2006-4887,,,Priv,9/19/2006,10/30/2018,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Apple Remote Desktop (ARD) for Mac OS X 10.2.8 and later does not drop privileges on the remote machine while installing certain applications, which allows local users to bypass authentication and gain privileges by selecting the icon during installation. NOTE: it could be argued that the issue is not in Remote Desktop itself, but in applications that are installed while using it."
140,141,CVE-2006-4411,,,Priv,11/30/2006,9/5/2008,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"The VPN service in Apple Mac OS X 10.3.x through 10.3.9 and 10.4.x through 10.4.8 does not properly clean the environment when executing commands, which allows local users to gain privileges via unspecified vectors."
141,142,CVE-2006-4392,,,Priv,10/3/2006,10/17/2018,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"The Mach kernel, as used in operating systems including (1) Mac OS X 10.4 through 10.4.7 and (2) OpenStep before 4.2, allows local users to gain privileges via a parent process that forces an exception in a setuid child and uses Mach exception ports to modify the child's thread context and task address space in a way that causes the child to call a parent-controlled function."
142,143,CVE-2006-3508,,,DoS Exec Code Overflow +Priv,9/21/2006,9/5/2008,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Heap-based buffer overflow in the AirPort wireless driver on Apple Mac OS X 10.4.7 allows physically proximate attackers to cause a denial of service (crash), gain privileges, and execute arbitrary code via a crafted frame that is not properly handled during scan cache updates."
143,144,CVE-2006-1451,,,Priv,5/12/2006,7/19/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"MySQL Manager in Apple Mac OS X 10.3.9 and 10.4.6, when setting up a new MySQL database server, does not use the ""New MySQL root password"" that is provided, which causes the MySQL root password to be blank and allows local users to gain full privileges to that database."
144,145,CVE-2005-2741,264.0,,Priv,10/25/2005,5/9/2016,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Authorization Services in securityd for Apple Mac OS X 10.3.9 allows local users to gain privileges by granting themselves certain rights that should be restricted to administrators.
145,146,CVE-2005-2519,,,Priv,8/19/2005,9/5/2008,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"slpd in Directory Services in Mac OS X 10.3.9 creates insecure temporary files as root, which allows local users to gain privileges."
146,147,CVE-2005-1726,,,Priv,12/31/2005,7/10/2017,4.6,User,Local,Low,Not required,Partial,Partial,Partial,"The CoreGraphics Window Server in Mac OS X 10.4.1 allows local users with console access to gain privileges by ""launching commands into root sessions."""
147,148,CVE-2005-1335,,,Priv,5/4/2005,9/5/2008,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Unknown vulnerability in Mac OS X 10.3.9 allows local users to gain privileges via (1) chfn, (2) chpass, and (3) chsh, which ""use external helper programs in an insecure manner."""
148,149,CVE-2005-0974,,,Priv,5/12/2005,9/5/2008,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Unknown vulnerability in the nfs_mount call in Mac OS X 10.3.9 and earlier allows local users to gain privileges via crafted arguments.
149,150,CVE-2005-0971,,,Overflow +Priv,5/12/2005,9/5/2008,4.6,User,Local,Low,Not required,Partial,Partial,Partial,Stack-based buffer overflow in the semop system call in Mac OS X 10.3.9 and earlier allows local users to gain privileges via crafted arguments.
150,151,CVE-2005-0713,,,Priv,3/21/2005,9/5/2008,4.6,User,Local,Low,Not required,Partial,Partial,Partial,"The Bluetooth Setup Assistant for Mac OS X before 10.3.8 can be launched without a keyboard or Bluetooth device, which allows local users to bypass access restrictions and gain privileges."
151,152,CVE-2005-0712,,,Priv,5/2/2005,9/10/2008,4.6,User,Local,Low,Not required,Partial,Partial,Partial,"Mac OS X before 10.3.8 users world-writable permissions for certain directories, which may allow local users to gain privileges, possibly via the receipt cache or ColorSync profiles."
152,153,CVE-2005-0342,,,Priv,5/2/2005,7/10/2017,2.1,None,Local,Low,Not required,None,Partial,None,The Finder in Mac OS X and earlier allows local users to overwrite arbitrary files and gain privileges by creating a hard link from the .DS_Store file to an arbitrary file.
153,154,CVE-2004-0821,,,Priv,12/31/2004,7/10/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"The CFPlugIn in Core Foundation framework in Mac OS X allows user supplied libraries to be loaded, which could allow local users to gain privileges."
154,155,CVE-2004-0165,,,Priv,3/15/2004,10/9/2017,5.0,None,Remote,Low,Not required,Partial,None,None,"Format string vulnerability in Point-to-Point Protocol (PPP) daemon (pppd) 2.4.0 for Mac OS X 10.3.2 and earlier allows remote attackers to read arbitrary pppd process data, including PAP or CHAP authentication credentials, to gain privileges."
155,156,CVE-2004-0089,,,Overflow +Priv,3/3/2004,10/9/2017,4.6,User,Local,Low,Not required,Partial,Partial,Partial,Buffer overflow in TruBlueEnvironment in Mac OS X 10.3.x and 10.2.x allows local users to gain privileges via a long environment variable.
156,157,CVE-2003-1010,,,Priv,3/29/2004,7/10/2017,4.6,User,Local,Low,Not required,Partial,Partial,Partial,Unknown vulnerability in fs_usage in Mac OS X 10.2.8 and 10.3.2 and Mac OS X Server 10.2.8 and 10.3.2 allows local users to gain privileges via unknown attack vectors.
157,158,CVE-2003-1009,,,Priv,3/29/2004,7/10/2017,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,"Directory Services in Apple Mac OS X 10.0.2, 10.0.3, 10.2.8, 10.3.2 and Apple Mac OS X Server 10.2 through 10.3.2 accepts authentication server information from unknown LDAP or NetInfo sources as provided by a malicious DHCP server, which allows remote attackers to gain privileges."
158,159,CVE-2003-0881,,,Priv,11/3/2003,9/5/2008,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,"Mail in Mac OS X before 10.3, when configured to use MD5 Challenge Response, uses plaintext authentication if the CRAM-MD5 hashed login fails, which could allow remote attackers to gain privileges by sniffing the password."
159,160,CVE-2003-0088,,,Priv,3/3/2003,9/10/2008,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,TruBlueEnvironment for MacOS 10.2.3 and earlier allows local users to overwrite or create arbitrary files and gain root privileges by setting a certain environment variable that is used to write debugging information.
160,161,CVE-2002-1268,,,Priv,12/11/2002,10/9/2017,4.6,User,Local,Low,Not required,Partial,Partial,Partial,"Mac OS X 10.2.2 allows local users to gain privileges via a mounted ISO 9600 CD, aka ""User Privilege Elevation via Mounting an ISO 9600 CD."""
161,162,CVE-2002-1266,,,Priv,12/11/2002,10/9/2017,4.6,User,Local,Low,Not required,Partial,Partial,Partial,"Mac OS X 10.2.2 allows local users to gain privileges by mounting a disk image file that was created on another system, aka ""Local User Privilege Elevation via Disk Image File."""
162,163,CVE-2001-1447,,,Priv,10/17/2001,7/10/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"NetInfo Manager for Mac OS X 10.0 through 10.1 allows local users to gain root privileges by opening applications using the (1) ""recent items"" and (2) ""services"" menus, which causes the applications to run with root privileges."
163,164,CVE-2001-1411,,,Priv,11/17/2003,10/17/2016,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Format string vulnerability in gm4 (aka m4) on Mac OS X may allow local users to gain privileges if gm4 is called by setuid programs.
